"","id","gap_size","gap_proprotion","e_ndvi","e_elev","e_prec","e_area","e_edge","e_earatio","d_ndvi","d_elev","d_prec","d_area","d_edge","d_earatio","gap_size_km","e_ndvi_r","e_elev_km","e_prec_m","e_area_km","e_edge_km","e_earatio_km","d_ndvi_r","d_elev_km","d_prec_m","d_area_km","d_edge_km","d_earatio_km","g_edge","g_edge_km","long","lat","ess_id","ess_id2","ess_id3","X","Y","pop_density","elev","e_area_h","d_area_h","gap_size_h10","pop_density_catch_100","pop_density_catch_100_2","elev_km","d_ndvi_r_10"
"742",2388,476.823,0.08505553,323.048,2269.286,1364.177,5606.02,285.779,0.050977164,339.046,2269.5,1364.177,5129.197,381.164,0.074312607,0.000476823,323.048,2.269286,1.364177,0.00560602,0.285779,50.97716383,339.046,2.2695,1.364177,0.005129197,0.381164,74.31260683,95.415,0.095415,417899.9782,1199354.438,32,NA,NA,417902.398,1199352.206,141.61023,2264,0.560602,0.5129197,0.476823,5.71515392699005,32.6629844091898,2.264,3.39046
"743",1082,549.477,0.04732011,262.589,2692.308,1120.197,11611.913,447.511,0.038538956,267.459,2692.308,1120.197,11062.436,542.892,0.049075267,0.000549477,262.589,2.692308,1.120197,0.011611913,0.447511,38.53895564,267.459,2.692308,1.120197,0.011062436,0.542892,49.07526697,95.416,0.095416,443473.8963,1283754.522,NA,NA,NA,443472.0299,1283755.356,218.76163,2701,1.1611913,1.1062436,0.549477,8.82885642350305,77.948705746831,2.701,2.67459
"745",418,634.191,0.094099651,285.022,2350.222,1144.335,6739.568,424.984,0.063058048,301.233,2350.5,1144.335,6105.377,520.47,0.085247807,0.000634191,285.022,2.350222,1.144335,0.006739568,0.424984,63.05804764,301.233,2.3505,1.144335,0.006105377,0.52047,85.24780697,95.52,0.09552,434581.5091,1195131.948,NA,NA,NA,434578.9242,1195133.955,470.09253,2340,0.6739568,0.6105377,0.634191,18.9721545461665,359.942648123627,2.34,3.01233
"746",3052,619.434,0.016042215,343.713,1805.025,1431.95,38612.747,899.114,0.023285419,345.496,1804.846,1431.95,37993.313,994.738,0.026181923,0.000619434,343.713,1.805025,1.43195,0.038612747,0.899114,23.28541919,345.496,1.804846,1.43195,0.037993313,0.994738,26.18192312,95.619,0.095619,308797.2662,1307164.215,NA,NA,NA,308808.8818,1307169.194,21.12007,1809,3.8612747,3.7993313,0.619434,0.852370983359074,0.726536293272515,1.809,3.45496
"747",113,608.987,0.040787157,284.685,2434.643,1163.661,14930.852,520.395,0.034853671,290.022,2434.769,1163.661,14321.865,616.023,0.043012764,0.000608987,284.685,2.434643,1.163661,0.014930852,0.520395,34.85367078,290.022,2.434769,1.163661,0.014321865,0.616023,43.01276405,95.66,0.09566,425260.2253,1142498.754,NA,NA,NA,425261.389,1142501.429,190.73735,2442,1.4930852,1.4321865,0.608987,7.69784297981986,59.2567865419618,2.442,2.90022
"748",2636,605.559,0.065899965,298.574,2298.111,1405.136,9189.064,415.768,0.045245958,309.868,2298.111,1405.136,8583.505,511.444,0.059584517,0.000605559,298.574,2.298111,1.405136,0.009189064,0.415768,45.24595759,309.868,2.298111,1.405136,0.008583505,0.511444,59.58451705,95.699,0.095699,388723.6295,1324004.045,NA,NA,NA,388713.712,1324006.264,91.47654,2309,0.9189064,0.8583505,0.605559,3.69184137903358,13.6296927679446,2.309,3.09868
"749",107,664.235,0.038174895,331.368,2630.111,1440.415,17399.786,499.787,0.028723744,336.983,2630.111,1440.415,16735.551,595.459,0.035580484,0.000664235,331.368,2.630111,1.440415,0.017399786,0.499787,28.72374407,336.983,2.630111,1.440415,0.016735551,0.595459,35.58048373,95.7,0.0957,405254.042,1213231.629,NA,NA,NA,405279.4639,1213220.744,204.95372,2646,1.7399786,1.6735551,0.664235,8.27159208560864,68.4192356307034,2.646,3.36983
"750",683,660.164,0.003938069,357.627,2027.879,1502.743,167636.465,1813.285,0.010816769,358.121,2027.873,1502.743,166976.301,1909.032,0.011432952,0.000660164,357.627,2.027879,1.502743,0.167636465,1.813285,10.81676949,358.121,2.027873,1.502743,0.166976301,1.909032,11.43295179,95.723,0.095723,269569.6443,1161317.003,NA,NA,NA,269570.2409,1161321.177,347.83902,2033,16.7636465,16.6976301,0.660164,14.0382057222375,197.071219899862,2.033,3.58121
"751",1596,558.735,0.045616386,431.2,2548.231,1514.787,12248.559,406.981,0.033226847,443.746,2547.667,1514.787,11689.824,502.733,0.043006037,0.000558735,431.2,2.548231,1.514787,0.012248559,0.406981,33.22684734,443.746,2.547667,1.514787,0.011689824,0.502733,43.0060367,95.782,0.095782,414276.2664,1213439.049,NA,NA,NA,414275.5487,1213431.011,72.2802,2556,1.2248559,1.1689824,0.558735,2.91710894667445,8.50952460676809,2.556,4.43746
"752",1098,638.846,0.030154459,177.06,2069,986.422,21185.789,1042.97,0.049229698,177.677,2069,986.422,20546.943,1138.741,0.055421432,0.000638846,177.06,2.069,0.986422,0.021185789,1.04297,49.22969827,177.677,2.069,0.986422,0.020546943,1.138741,55.42143179,95.807,0.095807,452307.9263,1322306.319,NA,NA,NA,452296.4691,1322299.103,32.64415,2067,2.1185789,2.0546943,0.638846,1.31746373172159,1.73571068440177,2.067,1.77677
"754",3159,583.988,0.025107561,371.013,2123.8,1546.847,23259.448,722.851,0.031077737,375.214,2123.8,1546.847,22675.46,818.728,0.036106346,0.000583988,371.013,2.1238,1.546847,0.023259448,0.722851,31.07773667,375.214,2.1238,1.546847,0.02267546,0.818728,36.1063458,95.882,0.095882,331479.7176,1171270.113,33,35,NA,331476.5526,1171272.647,179.57045,2135,2.3259448,2.267546,0.583988,7.24716542363408,52.5214066775174,2.135,3.75214
"755",2632,637.907,0.047944393,350.389,2129.214,1334.002,13305.143,462.393,0.034752952,362.171,2129.462,1334.002,12667.236,558.321,0.044075993,0.000637907,350.389,2.129214,1.334002,0.013305143,0.462393,34.7529523,362.171,2.129462,1.334002,0.012667236,0.558321,44.07599258,95.954,0.095954,398979.2256,1323050.222,NA,NA,NA,398981.901,1323046.866,66.3111,2130,1.3305143,1.2667236,0.637907,2.67620597444146,7.16207841763618,2.13,3.62171
"756",2390,672.801,0.082538406,384.683,2779.778,1603.175,8151.369,363.557,0.044600729,403.083,2779.778,1603.175,7478.568,459.583,0.061453342,0.000672801,384.683,2.779778,1.603175,0.008151369,0.363557,44.60072903,403.083,2.779778,1.603175,0.007478568,0.459583,61.4533424,96.043,0.096043,368407.919,1199726.738,NA,NA,NA,368409.2851,1199725.99,173.3273,2781,0.8151369,0.7478568,0.672801,6.99520224809735,48.9328544917862,2.781,4.03083
"757",564,676.612,0.032048955,264.359,2324,1441.969,21111.827,714.614,0.033848989,268.675,2323.833,1441.969,20435.215,810.718,0.039672595,0.000676612,264.359,2.324,1.441969,0.021111827,0.714614,33.84898901,268.675,2.323833,1.441969,0.020435215,0.810718,39.67259459,96.114,0.096114,347126.0828,1236975.477,NA,NA,NA,347126.0303,1236989.759,231.71375,2338,2.1111827,2.0435215,0.676612,9.35158249690075,87.4520951963405,2.338,2.68675
"758",944,576.798,0.071579626,285.456,2646.556,1546.081,8058.131,346.187,0.042961203,290.403,2646.556,1546.081,7481.333,442.297,0.059120079,0.000576798,285.456,2.646556,1.546081,0.008058131,0.346187,42.96120279,290.403,2.646556,1.546081,0.007481333,0.442297,59.12007927,96.118,0.096118,341600.1751,1223521.263,NA,NA,NA,341600.1747,1223520.056,105.03675,2644,0.8058131,0.7481333,0.576798,4.23910895590504,17.9700447400343,2.644,2.90403
"760",3040,578.443,0.055604201,323.736,2135.909,1714.651,10402.865,434.29,0.041747153,328.816,2135.8,1714.651,9824.422,530.423,0.05399025,0.000578443,323.736,2.135909,1.714651,0.010402865,0.43429,41.74715331,328.816,2.1358,1.714651,0.009824422,0.530423,53.99025001,96.127,0.096127,307522.179,1250749.204,NA,NA,NA,307525.219,1250746.74,143.81111,2134,1.0402865,0.9824422,0.578443,5.80397779215031,33.686158211774,2.134,3.28816
"762",1744,573.501,0.054477998,247.369,2383.75,1167.658,10527.204,474.102,0.04503589,254.212,2383.75,1167.658,9953.703,570.33,0.057298274,0.000573501,247.369,2.38375,1.167658,0.010527204,0.474102,45.03588987,254.212,2.38375,1.167658,0.009953703,0.57033,57.29827382,96.257,0.096257,415417.6502,1125519.394,NA,NA,NA,415418.339,1125522.78,101.8399,2379,1.0527204,0.9953703,0.573501,4.11008939403088,16.8928348269251,2.379,2.54212
"764",2847,606.87,0.049763952,484.036,3000.231,1827.727,12194.972,419.346,0.034386795,493.911,3000.231,1827.727,11588.102,515.692,0.044501852,0.00060687,484.036,3.000231,1.827727,0.012194972,0.419346,34.38679482,493.911,3.000231,1.827727,0.011588102,0.515692,44.50185199,96.344,0.096344,313193.0698,1235428.14,NA,NA,NA,313194.092,1235431.851,236.34061,3001,1.2194972,1.1588102,0.60687,9.53831488974154,90.9794509358651,3.001,4.93911
"765",54,640.118,0.026682058,423.395,2211.074,1506,23990.578,571.249,0.02381139,426.409,2211.074,1506,23350.46,667.626,0.028591557,0.000640118,423.395,2.211074,1.506,0.023990578,0.571249,23.81138962,426.409,2.211074,1.506,0.02335046,0.667626,28.59155665,96.384,0.096384,338070.2158,1144451.31,NA,NA,NA,338070.6295,1144448.37,512.75519,2220,2.3990578,2.335046,0.640118,20.6939487190511,428.239513586715,2.22,4.26409
"766",992,435.317,0.051005644,252.595,2912.727,1152.112,8534.683,478.42,0.056055978,257.978,2913,1152.112,8099.366,574.821,0.070971111,0.000435317,252.595,2.912727,1.152112,0.008534683,0.47842,56.05597771,257.978,2.913,1.152112,0.008099366,0.574821,70.97111058,96.434,0.096434,432541.0161,1310031.055,NA,NA,NA,432548.2962,1310015.025,208.6104,2929,0.8534683,0.8099366,0.435317,8.41916962334546,70.882417146663,2.929,2.57978
"768",615,679.036,0.084361269,243.923,2106.714,1235.829,8049.144,727.587,0.09039309,253.832,2106.714,1235.829,7370.108,824.042,0.111808674,0.000679036,243.923,2.106714,1.235829,0.008049144,0.727587,90.39309025,253.832,2.106714,1.235829,0.007370108,0.824042,111.8086736,96.485,0.096485,415542.096,1336151.094,NA,NA,NA,415558.9917,1336137.434,119.0113,2109,0.8049144,0.7370108,0.679036,4.80309860771493,23.0697562354331,2.109,2.53832
"769",2835,568.712,0.020575693,296.052,1854.517,1618.588,27639.993,739.464,0.026753408,298.408,1854.517,1618.588,27071.281,835.991,0.030881102,0.000568712,296.052,1.854517,1.618588,0.027639993,0.739464,26.75340764,298.408,1.854517,1.618588,0.027071281,0.835991,30.88110238,96.524,0.096524,312581.4613,1284446.883,9,NA,NA,312601.8407,1284456.232,131.9789,1851,2.7639993,2.7071281,0.568712,5.32644942822864,28.3710635114773,1.851,2.98408
"771",1080,538.641,0.051608697,267.957,2397.75,1083.111,10437.02,433.489,0.04153379,276.439,2397.75,1083.111,9898.379,530.283,0.053572711,0.000538641,267.957,2.39775,1.083111,0.01043702,0.433489,41.5337903,276.439,2.39775,1.083111,0.009898379,0.530283,53.57271125,96.827,0.096827,433760.9466,1286322.113,2,NA,NA,433759.112,1286314.764,49.93516,2419,1.043702,0.9898379,0.538641,2.015300206552,4.06143492252854,2.419,2.76439
"772",3079,460.149,0.064352444,351.732,2075.286,1561.534,7150.451,368.391,0.051519967,359.563,2075.286,1561.534,6690.302,465.245,0.069540209,0.000460149,351.732,2.075286,1.561534,0.007150451,0.368391,51.51996706,359.563,2.075286,1.561534,0.006690302,0.465245,69.5402091,96.849,0.096849,310769.0494,1191528.637,NA,NA,NA,310775.745,1191520.375,53.74533,2084,0.7150451,0.6690302,0.460149,2.16907234602243,4.70487484227925,2.084,3.59563
"773",2245,531.592,0.076206281,336.849,2572.857,1163.563,6975.698,340.677,0.048837693,350.083,2572.857,1163.563,6444.106,437.553,0.067899721,0.000531592,336.849,2.572857,1.163563,0.006975698,0.340677,48.83769337,350.083,2.572857,1.163563,0.006444106,0.437553,67.89972108,96.899,0.096899,388643.602,1358772.443,NA,NA,NA,388645.9556,1358771.65,84.97813,2586,0.6975698,0.6444106,0.531592,3.42957633341723,11.7619938267356,2.586,3.50083
"774",1062,523.011,0.009654913,218.044,2123.109,1280.742,54170.451,1948.754,0.035974484,218.662,2123.185,1280.742,53647.44,2045.629,0.038130971,0.000523011,218.044,2.123109,1.280742,0.054170451,1.948754,35.97448358,218.662,2.123185,1.280742,0.05364744,2.045629,38.13097139,96.9,0.0969,396048.4731,1336229.942,NA,NA,NA,396004.4702,1336232.802,169.06662,2136,5.4170451,5.364744,0.523011,6.82324827250075,46.5567169881845,2.136,2.18662
"776",2090,679.19,0.013806435,454.147,2422.333,1452.976,49193.726,822.367,0.016716908,457.62,2422.12,1452.976,48514.536,919.404,0.018951104,0.00067919,454.147,2.422333,1.452976,0.049193726,0.822367,16.71690817,457.62,2.42212,1.452976,0.048514536,0.919404,18.95110364,97.063,0.097063,396614.1592,1317091.746,NA,NA,NA,396621.3456,1317086.203,112.61786,2431,4.9193726,4.8514536,0.67919,4.54506997713523,20.6576610970561,2.431,4.5762
"779",469,532.074,0.028467965,222.307,2232.211,1413.355,18690.272,938.472,0.050211789,224.849,2231.944,1413.355,18158.198,1035.631,0.057033798,0.000532074,222.307,2.232211,1.413355,0.018690272,0.938472,50.21178932,224.849,2.231944,1.413355,0.018158198,1.035631,57.03379818,97.169,0.097169,346359.1252,1256965.018,NA,NA,NA,346335.3799,1256957.479,95.4682,2238,1.8690272,1.8158198,0.532074,3.85293815378078,14.8451324168596,2.238,2.24849
"780",171,573.665,0.051027107,285.529,3035.083,1492.423,11242.358,431.841,0.038411959,290.607,3035.083,1492.423,10668.693,528.984,0.049582831,0.000573665,285.529,3.035083,1.492423,0.011242358,0.431841,38.41195948,290.607,3.035083,1.492423,0.010668693,0.528984,49.58283081,97.174,0.097174,416350.301,1209363.973,NA,NA,NA,416356.0199,1209362.678,84.74104,3033,1.1242358,1.0668693,0.573665,3.42000777439046,11.6964531768912,3.033,2.90607
"781",2144,431.129,0.029987953,144.653,2468.875,1146.477,14376.74,569.832,0.039635689,147.686,2468.875,1146.477,13945.611,666.977,0.047827019,0.000431129,144.653,2.468875,1.146477,0.01437674,0.569832,39.63568931,147.686,2.468875,1.146477,0.013945611,0.666977,47.82701884,97.181,0.097181,444804.7053,1303215.374,NA,NA,NA,444806.9597,1303209.505,66.79893,2482,1.437674,1.3945611,0.431129,2.69589398384731,7.2678443721441,2.482,1.47686
"782",677,645.1,0.053927414,340.007,2006.857,1610.287,11962.376,879.919,0.07355721,346.135,2006.857,1610.287,11317.276,977.183,0.086344364,0.0006451,340.007,2.006857,1.610287,0.011962376,0.879919,73.5572097,346.135,2.006857,1.610287,0.011317276,0.977183,86.34436414,97.236,0.097236,264491.7828,1177103.874,NA,NA,NA,264486.5505,1177097.607,93.52537,2014,1.1962376,1.1317276,0.6451,3.77452875847103,14.2470673485249,2.014,3.46135
"783",2399,534.821,0.023864264,347.046,2613.13,1480.979,22410.957,683.607,0.030503249,348.896,2613.136,1480.979,21876.136,780.824,0.035692958,0.000534821,347.046,2.61313,1.480979,0.022410957,0.683607,30.50324892,348.896,2.613136,1.480979,0.021876136,0.780824,35.69295784,97.242,0.097242,392743.7269,1201227.926,NA,NA,NA,392751.2224,1201242.836,120.03368,2628,2.2410957,2.1876136,0.534821,4.84436016821007,23.4678254393403,2.628,3.48896
"784",3166,456.952,0.022212677,397.954,2435.136,1548.244,20571.676,779.261,0.037880287,402.723,2435.136,1548.244,20114.724,876.575,0.043578773,0.000456952,397.954,2.435136,1.548244,0.020571676,0.779261,37.88028744,402.723,2.435136,1.548244,0.020114724,0.876575,43.57877344,97.32,0.09732,334843.8799,1173395.044,35,NA,NA,334824.8119,1173404.95,202.73178,2437,2.0571676,2.0114724,0.456952,8.18191827379055,66.9437866389877,2.437,4.02723
"785",2278,666.594,0.062243347,347.669,2255.231,1336.115,10709.482,589.519,0.055046453,355.105,2255.083,1336.115,10042.888,687.156,0.068422151,0.000666594,347.669,2.255231,1.336115,0.010709482,0.589519,55.04645323,355.105,2.255083,1.336115,0.010042888,0.687156,68.42215108,97.654,0.097654,365667.6495,1217127.808,NA,NA,NA,365664.6053,1217120.676,113.14291,2260,1.0709482,1.0042888,0.666594,4.56626012398667,20.8507315199108,2.26,3.55105
"786",13,526.827,0.022083786,345.389,1679.72,1527.961,23855.828,883.641,0.037040886,348.131,1679.75,1527.961,23329.001,981.307,0.042063824,0.000526827,345.389,1.67972,1.527961,0.023855828,0.883641,37.04088577,348.131,1.67975,1.527961,0.023329001,0.981307,42.06382434,97.674,0.097674,338312.1091,1271741.882,NA,NA,NA,338315.1715,1271710.219,164.25899,1687,2.3855828,2.3329001,0.526827,6.6292203023886,43.9465618176012,1.687,3.48131
"787",1555,585.914,0.039200605,319.03,2474.313,1226.571,14946.555,565.446,0.037831193,327.169,2474.067,1226.571,14360.641,663.121,0.046176281,0.000585914,319.03,2.474313,1.226571,0.014946555,0.565446,37.83119254,327.169,2.474067,1.226571,0.014360641,0.663121,46.17628141,97.708,0.097708,429638.8688,1205655.04,NA,NA,NA,429634.593,1205652.23,98.36386,2477,1.4946555,1.4360641,0.585914,3.96980218698112,15.7593294037601,2.477,3.27169
"789",2537,563.375,0.082017236,329.228,2343.143,1320.764,6868.983,370.926,0.054000134,340.188,2343.143,1320.764,6305.608,468.686,0.074328439,0.000563375,329.228,2.343143,1.320764,0.006868983,0.370926,54.00013364,340.188,2.343143,1.320764,0.006305608,0.468686,74.32843907,97.787,0.097787,401320.8017,1259121.297,NA,NA,NA,401322.9678,1259117.844,41.01001,2323,0.6868983,0.6305608,0.563375,1.65509596091611,2.73934263984082,2.323,3.40188
"790",1460,697.086,0.021963533,453.72,1798.278,1514.718,31738.337,1160.694,0.036570725,457.707,1798.278,1514.718,31041.251,1258.511,0.040543179,0.000697086,453.72,1.798278,1.514718,0.031738337,1.160694,36.57072518,457.707,1.798278,1.514718,0.031041251,1.258511,40.54317914,97.827,0.097827,344042.1443,1317816.035,NA,NA,NA,344059.3313,1317822.45,109.23476,1797,3.1738337,3.1041251,0.697086,4.40853367428197,19.4351691572781,1.797,4.57707
"791",104,596.94,0.025018564,312.043,2553.857,1319.023,23859.883,610.487,0.025586337,312.37,2553.704,1319.023,23262.943,708.297,0.030447437,0.00059694,312.043,2.553857,1.319023,0.023859883,0.610487,25.5863367,312.37,2.553704,1.319023,0.023262943,0.708297,30.44743737,97.834,0.097834,387499.9275,1131775.359,NA,NA,NA,387502.2458,1131774.562,514.89252,2561,2.3859883,2.3262943,0.59694,20.7802078116518,431.817036695433,2.561,3.1237
"792",2216,668.326,0.030016563,348.685,2251.667,1152.484,22265.241,647.802,0.029094767,354.751,2251.385,1152.484,21596.915,745.63,0.034524838,0.000668326,348.685,2.251667,1.152484,0.022265241,0.647802,29.09476704,354.751,2.251385,1.152484,0.021596915,0.74563,34.52483839,97.844,0.097844,363759.574,1342066.58,NA,NA,NA,363759.1623,1342062.923,478.30508,2256,2.2265241,2.1596915,0.668326,19.3035994381288,372.628951267726,2.256,3.54751
"793",314,709.034,0.00461115,306.087,2022.485,1526.273,153765.128,2163.679,0.014071324,306.538,2022.821,1526.273,153056.094,2261.529,0.014775818,0.000709034,306.087,2.022485,1.526273,0.153765128,2.163679,14.07132442,306.538,2.022821,1.526273,0.153056094,2.261529,14.77581807,97.855,0.097855,331096.748,1184806.191,NA,NA,NA,331111.0561,1184795.145,71.28754,2054,15.3765128,15.3056094,0.709034,2.87704683606869,8.27739849693289,2.054,3.06538
"795",2838,651.545,0.018436827,404.77,2319.743,1553.463,35339.324,697.71,0.019743162,408.998,2319.743,1553.463,34687.779,795.641,0.022937214,0.000651545,404.77,2.319743,1.553463,0.035339324,0.69771,19.74316204,408.998,2.319743,1.553463,0.034687779,0.795641,22.93721371,97.928,0.097928,312177.1611,1191530.939,NA,NA,NA,312172.5898,1191539.077,78.73489,2328,3.5339324,3.4687779,0.651545,3.17760952562982,10.0972022973734,2.328,4.08998
"797",245,651.964,0.022481692,308.292,2604.152,1178.549,28999.774,1030.746,0.035543243,309.588,2603.813,1178.549,28347.81,1128.666,0.039814928,0.000651964,308.292,2.604152,1.178549,0.028999774,1.030746,35.54324251,309.588,2.603813,1.178549,0.02834781,1.128666,39.8149275,97.948,0.097948,407509.122,1168879.62,NA,NA,NA,407530.8459,1168875.973,568.71979,2609,2.8999774,2.834781,0.651964,22.9525871201216,526.821255506771,2.609,3.09588
"798",2151,650.656,0.080688699,357.792,2436.667,1363.023,8063.781,325.907,0.040416152,368.616,2436.25,1363.023,7413.125,423.848,0.057175348,0.000650656,357.792,2.436667,1.363023,0.008063781,0.325907,40.41615217,368.616,2.43625,1.363023,0.007413125,0.423848,57.17534778,97.96,0.09796,372953.4373,1130902.34,NA,NA,NA,372954.4062,1130900.858,182.1478,2442,0.8063781,0.7413125,0.650656,7.35118299336565,54.0398914019483,2.442,3.68616
"799",682,536.907,0.088719648,222.24,2074.2,1137.815,6051.726,381.971,0.063117696,230.814,2074,1137.815,5514.819,479.936,0.08702661,0.000536907,222.24,2.0742,1.137815,0.006051726,0.381971,63.11769568,230.814,2.074,1.137815,0.005514819,0.479936,87.02660958,97.999,0.097999,432743.0757,1135428.021,NA,NA,NA,432753.7607,1135423.156,193.70268,2066,0.6051726,0.5514819,0.536907,7.81751877862564,61.1135998541646,2.066,2.30814
"800",2910,648.031,0.025893754,333.175,2102.893,1664.186,25026.537,674.535,0.02695279,336.082,2102.893,1664.186,24378.506,772.641,0.031693534,0.000648031,333.175,2.102893,1.664186,0.025026537,0.674535,26.95279015,336.082,2.102893,1.664186,0.024378506,0.772641,31.69353364,98.105,0.098105,317788.7126,1263497.644,NA,NA,NA,317786.7752,1263495.877,55.17036,2114,2.5026537,2.4378506,0.648031,2.22658419245174,4.95767716607595,2.114,3.36082
"801",2238,639.671,0.004537429,449.299,2600.986,1262.077,140976.536,2008.95,0.014250244,449.941,2601.211,1262.077,140336.865,2107.044,0.015014187,0.000639671,449.299,2.600986,1.262077,0.140976536,2.00895,14.25024374,449.941,2.601211,1.262077,0.140336865,2.107044,15.01418747,98.113,0.098113,374683.3328,1352230.021,NA,NA,NA,374683.0056,1352205.771,207.68587,2588,14.0976536,14.0336865,0.639671,8.38185712650029,70.2555288890636,2.588,4.49941
"802",1453,733.137,0.048290656,180.512,2387.4,1149.258,15181.757,795.648,0.052408163,183.402,2386.786,1149.258,14448.62,893.731,0.061855804,0.000733137,180.512,2.3874,1.149258,0.015181757,0.795648,52.4081633,183.402,2.386786,1.149258,0.01444862,0.893731,61.85580353,98.116,0.098116,430124.3623,1240910.655,NA,NA,NA,430136.6238,1240936.471,97.97958,2392,1.5181757,1.444862,0.733137,3.95429328376796,15.6364353740524,2.392,1.83402
"803",2060,657.702,0.075318663,301.544,1846.273,1246.491,8732.258,354.76,0.040626376,313.179,1845.8,1246.491,8074.556,452.864,0.056085313,0.000657702,301.544,1.846273,1.246491,0.008732258,0.35476,40.62637636,313.179,1.8458,1.246491,0.008074556,0.452864,56.08531293,98.122,0.098122,367273.2072,1321951.581,NA,NA,NA,367272.9887,1321948.356,162.103,1845,0.8732258,0.8074556,0.657702,6.54220812314808,42.8004871265847,1.845,3.13179
"804",1064,659.814,0.046021136,220.147,2620.125,1135.591,14337.195,759.371,0.052965102,224.98,2620.125,1135.591,13677.381,857.484,0.062693581,0.000659814,220.147,2.620125,1.135591,0.014337195,0.759371,52.96510231,224.98,2.620125,1.135591,0.013677381,0.857484,62.69358147,98.149,0.098149,451807.6432,1287338.174,NA,NA,NA,451829.3202,1287343.67,133.29573,2622,1.4337195,1.3677381,0.659814,5.37959450218042,28.9400370078898,2.622,2.2498
"805",1122,614.576,0.026182862,198.374,1928.167,1009.838,23472.453,686.446,0.029244749,198.122,1928.167,1009.838,22857.877,784.577,0.034324141,0.000614576,198.374,1.928167,1.009838,0.023472453,0.686446,29.24474915,198.122,1.928167,1.009838,0.022857877,0.784577,34.3241413,98.164,0.098164,428092.2997,1343752.227,NA,NA,NA,428081.7144,1343762.605,49.1055,1932,2.3472453,2.2857877,0.614576,1.98181650550112,3.92759666147667,1.932,1.98122
"806",2215,717.332,0.059962636,350.52,2252.667,1259.449,11962.983,612.325,0.051184976,360.892,2252.909,1259.449,11245.651,710.464,0.063176778,0.000717332,350.52,2.252667,1.259449,0.011962983,0.612325,51.18497619,360.892,2.252909,1.259449,0.011245651,0.710464,63.17677829,98.168,0.098168,408934.0698,1341757.466,NA,NA,NA,408935.7727,1341752.85,107.03291,2278,1.1962983,1.1245651,0.717332,4.31967066153111,18.6595546240926,2.278,3.60892
"808",388,615.147,0.044122071,320.626,2557.938,1517.564,13941.934,958.832,0.068773242,325.682,2557.938,1517.639,13326.787,1057.037,0.079316718,0.000615147,320.626,2.557938,1.517564,0.013941934,0.958832,68.77324193,325.682,2.557938,1.517564,0.013326787,1.057037,79.31671753,98.217,0.098217,351780.1223,1159900.206,NA,NA,NA,351761.058,1159914.323,117.33287,2556,1.3941934,1.3326787,0.615147,4.73535995771995,22.4236339291775,2.556,3.25682
"810",2986,709.765,0.037670672,324.653,1996.476,1446.285,18841.315,545.739,0.028965017,330.958,1996.476,1446.285,18131.55,643.963,0.035516158,0.000709765,324.653,1.996476,1.446285,0.018841315,0.545739,28.96501651,330.958,1.996476,1.446285,0.01813155,0.643963,35.5161583,98.226,0.098226,324100.0355,1172386.369,NA,NA,NA,324102.1548,1172389.472,98.30142,1995,1.8841315,1.813155,0.709765,3.96728221217985,15.7393281510787,1.995,3.30958
"811",857,498.663,0.051791644,336.947,2788.429,1765.59,9628.252,614.47,0.063819476,337.844,2788.5,1765.59,9129.589,712.703,0.078065179,0.000498663,336.947,2.788429,1.76559,0.009628252,0.61447,63.81947627,337.844,2.7885,1.76559,0.009129589,0.712703,78.06517906,98.23,0.09823,314650.203,1229914.699,NA,NA,NA,314630.0531,1229913.104,138.02353,2781,0.9628252,0.9129589,0.498663,5.57040066594432,31.0293635791529,2.781,3.37844
"812",1791,574.721,0.059242094,322.391,2521.5,1358.47,9701.227,423.099,0.043612937,328.695,2521.5,1358.47,9126.506,521.363,0.057126243,0.000574721,322.391,2.5215,1.35847,0.009701227,0.423099,43.6129368,328.695,2.5215,1.35847,0.009126506,0.521363,57.12624306,98.285,0.098285,379236.2913,1135212.821,NA,NA,NA,379237.4449,1135209.111,155.62854,2538,0.9701227,0.9126506,0.574721,6.28090965979455,39.4498261545005,2.538,3.28695
"813",1466,699.779,0.035543438,278.304,2525.048,1408.094,19687.994,665.331,0.033793743,283.186,2524.85,1408.094,18988.215,763.598,0.040214312,0.000699779,278.304,2.525048,1.408094,0.019687994,0.665331,33.79374252,283.186,2.52485,1.408094,0.018988215,0.763598,40.21431188,98.295,0.098295,403072.4217,1271319.34,NA,NA,NA,403067.6794,1271338.013,38.67351,2544,1.9687994,1.8988215,0.699779,1.56079869757283,2.43609257434504,2.544,2.83186
"814",2752,582.472,0.071678646,262.438,2403.571,1283.238,8126.158,332.49,0.040916015,271.649,2403.571,1283.238,7543.686,430.788,0.05710577,0.000582472,262.438,2.403571,1.283238,0.008126158,0.33249,40.91601468,271.649,2.403571,1.283238,0.007543686,0.430788,57.10577031,98.328,0.098328,414622.1771,1129386.65,NA,NA,NA,414619.0305,1129383.615,166.68048,2386,0.8126158,0.7543686,0.582472,6.7269476211188,45.2518242972759,2.386,2.71649
